Area,Rent,Food,Transport,Utilities,Misc,Total
Githurai,9048,7058,2556,1713,1762,22138
Mlolongo,18364,12215,3039,3694,2391,39704
Juja,15693,6632,3047,3686,4230,33288
Embakasi,27236,11354,3536,2119,3484,47729
Thika,22978,10852,3544,3796,5910,47080
Kasarani,18346,10566,3552,2707,7383,42554
Ruiru,20747,9346,3554,3441,5174,42262
Umoja,27585,13110,3561,4410,5826,54492
Kikuyu,21170,8966,3566,4074,7215,44991
Kitengela,23328,15085,4048,4631,3782,50874
Rongai,29846,12520,4540,4896,9435,61237
Donholm,38455,16565,5537,5354,7312,73224
Ngong,34203,17492,5559,3614,7165,68032
South B,38487,18623,6582,5899,10430,80022
Ruaka,49267,16753,7617,6001,11066,90704
Kileleshwa,78231,20732,8576,5047,10297,122883
Langata,55138,19565,8583,4124,8949,96358
Westlands,92080,23911,10552,7745,13399,147687
Karen,153113,27691,13598,8452,18916,221771
