Area,Rent,Food,Transport,Utilities,Misc,Total
Githurai,9048,7058,2556,1713,1762,18662
Mlolongo,18364,12215,3039,3694,2391,33618
Juja,15693,6632,3047,3686,4230,25372
Embakasi,27236,11354,3536,2119,3484,42126
Thika,22978,10852,3544,3796,5910,37374
Kasarani,18346,10566,3552,2707,7383,32464
Ruiru,20747,9346,3554,3441,5174,33647
Umoja,27585,13110,3561,4410,5826,44256
Kikuyu,21170,8966,3566,4074,7215,33702
Kitengela,23328,15085,4048,4631,3782,42461
Rongai,29846,12520,4540,4896,9435,46906
Donholm,38455,16565,5537,5354,7312,60557
Ngong,34203,17492,5559,3614,7165,57254
South B,38487,18623,6582,5899,10430,63692
Ruaka,49267,16753,7617,6001,11066,73637
Kileleshwa,78231,20732,8576,5047,10297,107539
Langata,55138,19565,8583,4124,8949,83286
Westlands,92080,23911,10552,7745,13399,126543
Karen,153113,27691,13598,8452,18916,194402
